,0
1111,14.7
1112,14.7
1113,15.7
1114,15.9
1115,16.1
1116,16.1
1117,16.1
1118,16.3
1119,16.7
1120,16.7
1121,16.5
1122,16.1
1123,15.9
1124,15.8
1125,15.6
1126,15.6
1127,15.8
1128,16.4
1129,16.4
1130,14.9
1131,15.9
1132,15.7
1133,15.6
1134,15.9
1135,16.0
1136,16.3
1137,16.7
1138,18.3
1139,17.4
1140,17.8
1141,18.3
1142,18.3
1143,18.7
1144,18.6
1145,18.2
1146,16.8
1147,16.8
1148,16.8
1149,15.8
1150,15.8
1151,18.2
1152,15.3
1153,13.7
1154,15.3
1155,15.0
1156,14.6
1157,15.0
1158,14.4
1159,13.7
1160,13.7
1161,14.0
1162,14.0
1163,14.4
1164,14.6
1165,15.0
1166,15.0
1167,15.0
1168,15.0
1169,17.1
1170,13.1
1171,13.1
1172,13.1
1173,13.0
1174,13.2
1175,15.1
1176,13.2
1177,13.4
1178,13.7
1179,14.0
1180,13.9
1181,14.0
1182,14.0
1183,14.0
1184,13.9
1185,15.1
1186,15.1
1187,15.1
1188,15.1
1189,16.7
1190,16.8
1191,16.7
1192,17.4
1193,16.7
1194,16.1
1195,18.6
1196,16.0
1197,16.0
1198,16.3
1199,16.1
1200,18.9
1201,16.3
1202,16.8
1203,17.1
1204,17.3
1205,16.9
1206,15.2
1207,15.2
1208,15.2
1209,15.0
1210,15.0
1211,15.1
1212,15.0
1213,15.0
1214,15.2
1215,15.3
1216,15.3
1217,15.2
1218,15.1
1219,14.4
1220,14.1
1221,13.9
1222,13.6
1223,13.6
1224,13.2
1225,13.3
1226,15.0
1227,13.6
1228,13.3
1229,12.8
1230,12.5
1231,12.3
1232,12.3
1233,12.3
1234,12.0
1235,12.0
1236,12.7
1237,12.9
1238,12.9
1239,13.0
1240,12.9
1241,12.7
1242,12.1
1243,12.0
1244,12.0
1245,12.0
1246,11.4
1247,11.4
1248,11.2
1249,11.1
1250,11.2
1251,12.8
1252,11.1
1253,12.5
1254,11.1
1255,11.4
1256,12.1
1257,11.9
1258,12.2
1259,12.3
1260,12.0
1261,12.2
1262,12.3
1263,12.3
1264,12.2
1265,12.2
1266,12.1
1267,12.1
1268,12.2
1269,12.4
1270,12.3
1271,12.6
1272,12.2
