,A0
1486,6980.36
1487,22801.9
1488,11253.9
1489,21425.8
1490,2611.63
1491,16239.1
1492,30432.6
1493,11842.7
1494,15510.2
1495,21846.2
1496,27264.1
1497,30256.7
1498,9623.51
1499,11924.5
1500,27273.2
1501,2262.9
1502,35384.2
1503,25586.4
1504,10504.8
1505,1382.49
1506,24683.1
1507,33546.2
1508,21422.1
1509,5378.56
1510,20427.0
1511,1534.61
1512,22710.1
1513,11641.2
1514,21184.0
1515,30728.7
1516,17194.7
1517,24331.0
1518,4666.4
1519,23879.3
1520,20906.1
1521,27002.9
1522,19954.1
1523,8305.85
1524,32700.9
1525,15875.8
1526,32927.5
1527,14395.6
1528,18003.6
1529,20579.8
1530,9593.91
1531,16744.2
1532,5580.11
1533,27980.7
1534,28167.3
1535,22946.1
1536,18591.9
1537,5305.41
1538,9800.94
1539,28983.0
1540,17829.0
1541,15901.6
1542,27725.6
1543,15891.3
1544,11588.6
1545,4350.69
1546,32370.7
1547,7170.72
1548,23848.8
1549,12350.2
1550,18321.5
1551,10429.2
1552,24420.7
1553,3880.44
1554,25695.2
1555,27769.7
1556,12354.8
1557,26832.7
1558,33237.3
1559,22540.4
1560,4687.18
1561,14381.9
1562,6858.08
1563,3888.29
1564,3230.85
1565,4902.55
1566,24476.2
1567,17926.3
1568,26524.8
1569,12367.3
1570,28661.4
1571,28428.6
1572,18529.5
1573,11518.3
1574,7407.49
1575,22686.3
1576,10811.5
1577,26611.7
1578,6598.38
1579,31765.7
1580,23182.4
1581,25468.7
1582,33412.2
1583,27883.3
1584,25365.8
1585,33255.4
1586,7203.54
1587,23175.7
1588,11551.1
1589,28081.1
1590,19504.4
1591,20437.4
1592,7813.08
1593,18373.2
1594,23446.2
1595,30766.3
1596,20467.7
1597,29536.3
1598,15078.0
1599,3783.44
1600,14254.0
1601,17575.9
1602,26059.2
1603,25592.3
1604,2378.5
1605,23687.0
1606,7021.46
1607,2223.22
1608,17894.0
1609,28586.5
1610,4687.54
1611,16620.1
1612,14808.8
1613,5496.18
1614,20644.8
1615,19225.6
1616,32160.5
1617,24544.2
1618,12975.2
1619,19152.4
1620,17879.4
1621,14866.3
1622,16200.9
1623,31185.6
1624,27649.5
1625,28829.2
1626,20096.1
1627,18868.1
1628,30326.0
1629,29759.1
1630,6227.69
1631,26327.0
1632,29005.6
1633,5242.47
1634,19251.7
1635,18145.7
1636,8980.02
1637,21340.9
1638,24727.1
1639,22361.9
1640,9369.15
1641,19050.6
1642,32259.8
1643,14003.6
1644,23070.1
1645,19784.0
1646,30727.4
1647,30575.1
1648,19472.8
1649,6547.41
1650,7861.1
1651,32999.9
1652,8284.65
1653,14138.5
1654,28970.2
1655,26552.9
1656,20006.4
1657,26577.8
1658,18119.5
1659,32227.4
1660,29511.4
1661,10064.1
1662,24306.3
1663,13308.0
1664,17971.0
1665,3477.21
1666,8375.4
1667,29222.9
1668,17478.3
1669,33023.5
1670,9436.93
1671,24711.0
1672,8548.27
1673,13392.2
1674,11594.0
1675,4892.05
1676,21364.3
1677,10110.3
1678,31347.2
1679,33791.4
1680,24889.8
1681,13492.7
1682,32821.7
1683,17942.5
1684,9386.31
1685,16951.4
1686,6956.49
1687,32293.9
1688,17689.8
1689,4324.78
1690,11773.9
1691,22221.3
1692,4461.21
1693,22812.2
1694,16614.9
1695,4928.75
1696,4767.66
1697,31977.1
1698,14948.8
1699,27367.5
1700,27835.8
1701,33261.7
1702,20939.5
1703,14602.4
1704,34627.1
1705,17393.9
1706,21347.2
1707,12001.8
1708,27775.2
1709,15094.2
1710,4109.32
1711,12634.9
1712,19505.6
1713,5371.1
1714,17219.8
1715,29974.0
1716,27597.2
1717,14439.1
1718,31825.8
1719,16927.7
1720,9281.39
